chr	site	depth	LMNA	TNNT2	SCNSA	MYBPC3	MYH6	MYH7
chr1	156084440	0	1	0	0	0	0	0	NM_170707
chr1	156084441	0	1	0	0	0	0	0	NM_170707
chr1	156084442	0	1	0	0	0	0	0	NM_170707
chr1	156084443	0	1	0	0	0	0	0	NM_170707
chr1	156084444	0	1	0	0	0	0	0	NM_170707
chr1	156084445	0	1	0	0	0	0	0	NM_170707
chr1	156084446	0	1	0	0	0	0	0	NM_170707
chr1	156084447	0	1	0	0	0	0	0	NM_170707
chr1	156084448	0	1	0	0	0	0	0	NM_170707
chr1	156084449	0	1	0	0	0	0	0	NM_170707
chr1	156084450	0	1	0	0	0	0	0	NM_170707
chr1	156084451	0	1	0	0	0	0	0	NM_170707
chr1	156084452	0	1	0	0	0	0	0	NM_170707
chr1	156084453	0	1	0	0	0	0	0	NM_170707
chr1	156084454	0	1	0	0	0	0	0	NM_170707
chr1	156084455	0	1	0	0	0	0	0	NM_170707
chr1	156084456	0	1	0	0	0	0	0	NM_170707
chr1	156084457	0	1	0	0	0	0	0	NM_170707
chr1	156084458	0	1	0	0	0	0	0	NM_170707
chr1	156084459	0	1	0	0	0	0	0	NM_170707
chr1	156084460	0	1	0	0	0	0	0	NM_170707
chr1	156084461	0	1	0	0	0	0	0	NM_170707
chr1	156084462	0	1	0	0	0	0	0	NM_170707
chr1	156084463	0	1	0	0	0	0	0	NM_170707
chr1	156084464	0	1	0	0	0	0	0	NM_170707
chr1	156084465	0	1	0	0	0	0	0	NM_170707
chr1	156084466	0	1	0	0	0	0	0	NM_170707
chr1	156084467	0	1	0	0	0	0	0	NM_170707
chr1	156084468	0	1	0	0	0	0	0	NM_170707
chr1	156084469	0	1	0	0	0	0	0	NM_170707
chr1	156084470	0	1	0	0	0	0	0	NM_170707
chr1	156084471	0	1	0	0	0	0	0	NM_170707
chr1	156084472	0	1	0	0	0	0	0	NM_170707
chr1	156084473	0	1	0	0	0	0	0	NM_170707
chr1	156084474	0	1	0	0	0	0	0	NM_170707
chr1	156084475	0	1	0	0	0	0	0	NM_170707
chr1	156084476	0	1	0	0	0	0	0	NM_170707
chr1	156084477	0	1	0	0	0	0	0	NM_170707
chr1	156084478	0	1	0	0	0	0	0	NM_170707
chr1	156084479	0	1	0	0	0	0	0	NM_170707
chr1	156084480	0	1	0	0	0	0	0	NM_170707
chr1	156084481	0	1	0	0	0	0	0	NM_170707
chr1	156084482	0	1	0	0	0	0	0	NM_170707
chr1	156084483	0	1	0	0	0	0	0	NM_170707
chr1	156084484	0	1	0	0	0	0	0	NM_170707
chr1	156084485	0	1	0	0	0	0	0	NM_170707
chr1	156084486	0	1	0	0	0	0	0	NM_170707
chr1	156084487	0	1	0	0	0	0	0	NM_170707
chr1	156084488	0	1	0	0	0	0	0	NM_170707
chr1	156084489	0	1	0	0	0	0	0	NM_170707
chr1	156084490	0	1	0	0	0	0	0	NM_170707
chr1	156084491	0	1	0	0	0	0	0	NM_170707
chr1	156084492	0	1	0	0	0	0	0	NM_170707
chr1	156084493	0	1	0	0	0	0	0	NM_170707
chr1	156084494	0	1	0	0	0	0	0	NM_170707
chr1	156084495	0	1	0	0	0	0	0	NM_170707
chr1	156084496	0	1	0	0	0	0	0	NM_170707
chr1	156084497	0	1	0	0	0	0	0	NM_170707
chr1	156084498	0	1	0	0	0	0	0	NM_170707
chr1	156084499	0	1	0	0	0	0	0	NM_170707
chr1	156084500	0	1	0	0	0	0	0	NM_170707
chr1	156084501	0	1	0	0	0	0	0	NM_170707
chr1	156084502	0	1	0	0	0	0	0	NM_170707
chr1	156084503	0	1	0	0	0	0	0	NM_170707
chr1	156084504	0	1	0	0	0	0	0	NM_170707
chr1	156084505	0	1	0	0	0	0	0	NM_170707
chr1	156084506	0	1	0	0	0	0	0	NM_170707
chr1	156084507	0	1	0	0	0	0	0	NM_170707
chr1	156084508	0	1	0	0	0	0	0	NM_170707
chr1	156084509	0	1	0	0	0	0	0	NM_170707
chr1	156084510	0	1	0	0	0	0	0	NM_170707
chr1	156084511	0	1	0	0	0	0	0	NM_170707
chr1	156084512	0	1	0	0	0	0	0	NM_170707
chr1	156084513	0	1	0	0	0	0	0	NM_170707
chr1	156084514	0	1	0	0	0	0	0	NM_170707
chr1	156084515	0	1	0	0	0	0	0	NM_170707
chr1	156084516	0	1	0	0	0	0	0	NM_170707
chr1	156084517	0	1	0	0	0	0	0	NM_170707
chr1	156084518	0	1	0	0	0	0	0	NM_170707
chr1	156084519	0	1	0	0	0	0	0	NM_170707
chr1	156084520	0	1	0	0	0	0	0	NM_170707
chr1	156084521	0	1	0	0	0	0	0	NM_170707
chr1	156084522	0	1	0	0	0	0	0	NM_170707
chr1	156084523	0	1	0	0	0	0	0	NM_170707
chr1	156084524	0	1	0	0	0	0	0	NM_170707
chr1	156084525	0	1	0	0	0	0	0	NM_170707
chr1	156084526	0	1	0	0	0	0	0	NM_170707
chr1	156084527	0	1	0	0	0	0	0	NM_170707
chr1	156084528	0	1	0	0	0	0	0	NM_170707
chr1	156084529	0	1	0	0	0	0	0	NM_170707
chr1	156084530	0	1	0	0	0	0	0	NM_170707
chr1	156084531	0	1	0	0	0	0	0	NM_170707
chr1	156084532	0	1	0	0	0	0	0	NM_170707
chr1	156084533	0	1	0	0	0	0	0	NM_170707
chr1	156084534	0	1	0	0	0	0	0	NM_170707
chr1	156084535	0	1	0	0	0	0	0	NM_170707
chr1	156084536	0	1	0	0	0	0	0	NM_170707
chr1	156084537	0	1	0	0	0	0	0	NM_170707
chr1	156084538	0	1	0	0	0	0	0	NM_170707
chr1	156084539	0	1	0	0	0	0	0	NM_170707
chr1	156084540	0	1	0	0	0	0	0	NM_170707
chr1	156084541	0	1	0	0	0	0	0	NM_170707
chr1	156084542	0	1	0	0	0	0	0	NM_170707
chr1	156084543	0	1	0	0	0	0	0	NM_170707
chr1	156084544	0	1	0	0	0	0	0	NM_170707
chr1	156084545	0	1	0	0	0	0	0	NM_170707
chr1	156084546	0	1	0	0	0	0	0	NM_170707
chr1	156084547	0	1	0	0	0	0	0	NM_170707
chr1	156084548	0	1	0	0	0	0	0	NM_170707
chr1	156084549	0	1	0	0	0	0	0	NM_170707
chr1	156084550	0	1	0	0	0	0	0	NM_170707
chr1	156084551	0	1	0	0	0	0	0	NM_170707
chr1	156084552	0	1	0	0	0	0	0	NM_170707
chr1	156084553	0	1	0	0	0	0	0	NM_170707
chr1	156084554	0	1	0	0	0	0	0	NM_170707
chr1	156084555	0	1	0	0	0	0	0	NM_170707
chr1	156084556	0	1	0	0	0	0	0	NM_170707
chr1	156084557	0	1	0	0	0	0	0	NM_170707
chr1	156084558	0	1	0	0	0	0	0	NM_170707
chr1	156084559	0	1	0	0	0	0	0	NM_170707
chr1	156084560	0	1	0	0	0	0	0	NM_170707
chr1	156084561	0	1	0	0	0	0	0	NM_170707
chr1	156084562	0	1	0	0	0	0	0	NM_170707
chr1	156084563	0	1	0	0	0	0	0	NM_170707
chr1	156084564	0	1	0	0	0	0	0	NM_170707
chr1	156084565	0	1	0	0	0	0	0	NM_170707
chr1	156084566	0	1	0	0	0	0	0	NM_170707
chr1	156084567	0	1	0	0	0	0	0	NM_170707
chr1	156084568	0	1	0	0	0	0	0	NM_170707
chr1	156084569	0	1	0	0	0	0	0	NM_170707
chr1	156084570	0	1	0	0	0	0	0	NM_170707
chr1	156084571	0	1	0	0	0	0	0	NM_170707
chr1	156084572	0	1	0	0	0	0	0	NM_170707
chr1	156084573	0	1	0	0	0	0	0	NM_170707
chr1	156084574	0	1	0	0	0	0	0	NM_170707
chr1	156084575	0	1	0	0	0	0	0	NM_170707
chr1	156084576	0	1	0	0	0	0	0	NM_170707
chr1	156084577	0	1	0	0	0	0	0	NM_170707
chr1	156084578	0	1	0	0	0	0	0	NM_170707
chr1	156084579	0	1	0	0	0	0	0	NM_170707
chr1	156084580	0	1	0	0	0	0	0	NM_170707
chr1	156084581	0	1	0	0	0	0	0	NM_170707
chr1	156084582	0	1	0	0	0	0	0	NM_170707
chr1	156084583	0	1	0	0	0	0	0	NM_170707
chr1	156084584	0	1	0	0	0	0	0	NM_170707
chr1	156084585	0	1	0	0	0	0	0	NM_170707
chr1	156084586	0	1	0	0	0	0	0	NM_170707
chr1	156084587	0	1	0	0	0	0	0	NM_170707
chr1	156084588	0	1	0	0	0	0	0	NM_170707
chr1	156084589	0	1	0	0	0	0	0	NM_170707
chr1	156084590	0	1	0	0	0	0	0	NM_170707
chr1	156084591	0	1	0	0	0	0	0	NM_170707
